OBJECTID_1,CRASH_NUMB,CITY_TOWN_,CRASH_DATE,CRASH_DA_1,CRASH_STAT,CRASH_SEVE,MAX_INJR_S,NUMB_VEHC,NUMB_NONFA,NUMB_FATAL,POLC_AGNCY,MANR_COLL_,VEHC_MNVR_,VEHC_TRVL_,VEHC_SEQ_E,AMBNT_LIGH,WEATH_COND,ROAD_SURF_,FIRST_HRMF,MOST_HRMFL,DRVR_CNTRB,VEHC_CONFI,STREET_NUM,RDWY,DIST_DIRC_,NEAR_INT_R,MM_RTE,DIST_DIR_1,MILEMARKER,EXIT_RTE,DIST_DIR_2,EXIT_NUMB,DIST_DIR_3,LANDMARK,RDWY_JNCT_,TRAF_CNTRL,TRAFY_DESC,JURISDICTN,FIRST_HR_1,NON_MTRST_,NON_MTRS_1,NON_MTRS_2,IS_GEOCODE,GEOCODING_,X,Y,LAT,LON,RMV_DOC_ID,CRASH_RPT_,YEAR,AGE_DRVR_Y,AGE_DRVR_O,AGE_NONMTR,AGE_NONM_1,DRVR_DISTR,DISTRICT_N,RPA_ABBR,VEHC_EMER_,VEHC_TOWED,CNTY_NAME,FMCSA_RPTB,FMCSA_RP_1,HIT_RUN_DE,LCLTY_NAME,ROAD_CNTRB,SCHL_BUS_R,SPEED_LIMI,TRAF_CNT_1,WORK_ZONE_,AADT,AADT_YEAR,PK_PCT_SUT,AV_PCT_SUT,PK_PCT_CT,AV_PCT_CT,CURB,TRUCK_RTE,LT_SIDEWLK,RT_SIDEWLK,SHLDR_LT_W,SHLDR_LT_T,SURFACE_WD,SURFACE_TP,SHLDR_RT_W,SHLDR_RT_T,NUM_LANES,OPP_LANES,MED_WIDTH,MED_TYPE,URBAN_TYPE,F_CLASS,URBAN_AREA,FD_AID_RTE,FACILITY,OPERATION,CONTROL,PEAK_LANE,SPEED_LIM,STREETNAME,FROMSTREET,TOSTREETNA,CITY,STRUCT_CND,TERRAIN,URBAN_LOC_,AADT_DERIV,STATN_NUM,OP_DIR_SL,SHLDR_UL_T,SHLDR_UL_W,T_EXC_TYPE,T_EXC_TIME,F_F_CLASS,VEHC_UNIT_,ALC_SUSPD_,DRIVER_AGE,DRVR_CNT_1,DRIVER_DIS,DRVR_LCN_S,DRUG_SUSPD,EMERGENCY_,FMCSA_RP_2,HAZ_MAT_PL,MAX_INJR_1,MOST_HRMF_,TOTAL_OCCP,VEHC_MANR_,VEHC_CONFG,VEHC_MOST_,OWNER_ADDR,OWNER_AD_1,VEHC_REG_S,VEHC_REG_T,VEHC_SEQ_1,VEHC_TOW_1,VEHICLE_MA,VEHICLE_MO,VEHICLE_VI,DRIVER_VIO,NON_MTRS_3,NON_MTRS_4,NON_MTRS_5,NON_MTRS_6,NON_MTRS_7,NON_MTRS_8,TRAFFIC_CO,SHAPE_1
0,5344998,WORCESTER,01/05/2024,1/5/2024,Open,Property damage only (none injured),No Apparent Injury (O),2,0,0,State police,Rear-end,V1: Slowing or stopped in traffic / V2: Slowing or stopped in traffic,V1: E  / V2: E,V1:(Collision with motor vehicle in traffic) V2:(Collision with motor vehicle in traffic),Dawn,Clear,Dry,Collision with motor vehicle in traffic,V1:(Collision with motor vehicle in traffic) / V2:(Collision with motor vehicle in traffic),D1: (Operating defective equipment)  / D2: (No improper driving),"V1:(Passenger car) / V2:(Light truck(van, mini-van, pickup, sport utility))",,,,,,,,290,,21,,,Not at junction,No controls,"Two-way, divided, positive median barrier",Massachusetts Department of Transportation,Roadway,,,,Yes,Exit Number,175799.522546000000000,891002.076586000000000,42.269115010000000,-71.793347199999900,PW20244363673,2024-0C6-000111,2024,21-24,35-44,,,D2: Not Distracted,3,CMRPC,V1:(No) / V2:(No),"V1:(Yes, other reason not disabled) / V2:(Yes, vehicle or trailer disabled)",WORCESTER,"V1:(No, not federally reportable) / V2:(No, not federally reportable)","No, not federally reportable",No hit and run,,Traffic congestion related,"No, school bus not involved",50,Not reported,No,115397,2020,0.162,2653,0.259,6576,Right side only,,0,0,2,Hardened bituminous mix or penetration,36,Bituminous concrete road,10,Hardened bituminous mix or penetration,3,3,8,Positive Barrier ΓÇô semi-rigid,Large Urbanized Area,Interstate,Worcester (MA-CT),,Mainline roadway,Two-way traffic,Full Access Control,3,50,INTERSTATE 290,AUBURN TOWN LINE,SHREWSBURY TOWN LINE,WORCESTER,Good,Level Terrain,,Pulled back from HPMS network estimation routine,,0,0,0,,,Interstate,1,No,22,"DCC1:Operating defective equipment, DCC2:Not reported",Not reported,MA,No,No,"No, not federally reportable",Not reported,No Apparent Injury (O),Collision with motor vehicle in traffic,1,Slowing or stopped in traffic,Passenger car,"MDA1:Center front, MDA2:Total (all areas)",WORCESTER,MA,MA,PAN,SEQ1:Collision with motor vehicle in traffic,"Yes, other reason not disabled",NISS,SENTRA,3N1CB51D05L567022,"V1: (90-20-B),(90-7-A),(720 906-B) / V2: (90-9-B)",,,,,,,,
0,5344998,WORCESTER,01/05/2024,1/5/2024,Open,Property damage only (none injured),No Apparent Injury (O),2,0,0,State police,Rear-end,V1: Slowing or stopped in traffic / V2: Slowing or stopped in traffic,V1: E  / V2: E,V1:(Collision with motor vehicle in traffic) V2:(Collision with motor vehicle in traffic),Dawn,Clear,Dry,Collision with motor vehicle in traffic,V1:(Collision with motor vehicle in traffic) / V2:(Collision with motor vehicle in traffic),D1: (Operating defective equipment)  / D2: (No improper driving),"V1:(Passenger car) / V2:(Light truck(van, mini-van, pickup, sport utility))",,,,,,,,290,,21,,,Not at junction,No controls,"Two-way, divided, positive median barrier",Massachusetts Department of Transportation,Roadway,,,,Yes,Exit Number,175799.522546000000000,891002.076586000000000,42.269115010000000,-71.793347199999900,PW20244363673,2024-0C6-000111,2024,21-24,35-44,,,D2: Not Distracted,3,CMRPC,V1:(No) / V2:(No),"V1:(Yes, other reason not disabled) / V2:(Yes, vehicle or trailer disabled)",WORCESTER,"V1:(No, not federally reportable) / V2:(No, not federally reportable)","No, not federally reportable",No hit and run,,Traffic congestion related,"No, school bus not involved",50,Not reported,No,115397,2020,0.162,2653,0.259,6576,Right side only,,0,0,2,Hardened bituminous mix or penetration,36,Bituminous concrete road,10,Hardened bituminous mix or penetration,3,3,8,Positive Barrier ΓÇô semi-rigid,Large Urbanized Area,Interstate,Worcester (MA-CT),,Mainline roadway,Two-way traffic,Full Access Control,3,50,INTERSTATE 290,AUBURN TOWN LINE,SHREWSBURY TOWN LINE,WORCESTER,Good,Level Terrain,,Pulled back from HPMS network estimation routine,,0,0,0,,,Interstate,2,No,44,"DCC1:No improper driving, DCC2:Not reported",Not Distracted,RI,No,No,"No, not federally reportable",Not reported,No Apparent Injury (O),Collision with motor vehicle in traffic,1,Slowing or stopped in traffic,"Light truck(van, mini-van, pickup, sport utility)",MDA1:Center rear,WOONSOCKET,RI,RI,PAN,SEQ1:Collision with motor vehicle in traffic,"Yes, vehicle or trailer disabled",NISSAN,,,"V1: (90-20-B),(90-7-A),(720 906-B) / V2: (90-9-B)",,,,,,,,
0,5345091,WORCESTER,01/07/2024,1/7/2024,Open,Property damage only (none injured),No Apparent Injury (O),2,0,0,State police,Rear-end,V1: Travelling straight ahead / V2: Travelling straight ahead,V1: W  / V2: W,V1:(Collision with motor vehicle in traffic) V2:(Collision with motor vehicle in traffic),Dark - lighted roadway,Snow,Snow,Collision with motor vehicle in traffic,V1:(Collision with motor vehicle in traffic) / V2:(Collision with motor vehicle in traffic),D1: (No improper driving)  / D2: (Over-correcting/over-steering),"V1:(Light truck(van, mini-van, pickup, sport utility)) / V2:(Passenger car)",,,,,,,,290,,22,,,Not at junction,No controls,"One-way, not divided",Massachusetts Department of Transportation,Roadway,,,,Yes,Exit Number,175994.683009000000000,893358.653287000000000,42.290337020000000,-71.791079060000000,PW20244363791,2024-0C6-000155,2024,25-34,35-44,,,D1: Not Distracted / D2: Not Distracted,3,CMRPC,V1:(No) / V2:(No),"V1:(Yes, vehicle or trailer disabled) / V2:(Yes, vehicle or trailer disabled)",WORCESTER,"V1:(No, not federally reportable) / V2:(No, not federally reportable)","No, not federally reportable",No hit and run,,None,"No, school bus not involved",50,"No, device not functioning",No,62109,2014,1.186,9059,0.429,3310,Right side only,,0,0,4,Hardened bituminous mix or penetration,28,Bituminous concrete road,10,Hardened bituminous mix or penetration,2,3,6,Positive Barrier ΓÇô rigid,Large Urbanized Area,Interstate,Worcester (MA-CT),,Mainline roadway,Two-way traffic,Full Access Control,3,50,INTERSTATE 290,AUBURN TOWN LINE,SHREWSBURY TOWN LINE,WORCESTER,Good,Level Terrain,,Actual,3334,0,0,0,,,Interstate,1,No,29,"DCC1:No improper driving, DCC2:Not reported",Not Distracted,MA,No,No,"No, not federally reportable",Not reported,No Apparent Injury (O),Collision with motor vehicle in traffic,1,Travelling straight ahead,"Light truck(van, mini-van, pickup, sport utility)",MDA1:Right front,MARLBOROUGH,MA,MA,PAN,SEQ1:Collision with motor vehicle in traffic,"Yes, vehicle or trailer disabled",CADI,ESCALD,1GYEK63N86R102235,,,,,,,,,
0,5345091,WORCESTER,01/07/2024,1/7/2024,Open,Property damage only (none injured),No Apparent Injury (O),2,0,0,State police,Rear-end,V1: Travelling straight ahead / V2: Travelling straight ahead,V1: W  / V2: W,V1:(Collision with motor vehicle in traffic) V2:(Collision with motor vehicle in traffic),Dark - lighted roadway,Snow,Snow,Collision with motor vehicle in traffic,V1:(Collision with motor vehicle in traffic) / V2:(Collision with motor vehicle in traffic),D1: (No improper driving)  / D2: (Over-correcting/over-steering),"V1:(Light truck(van, mini-van, pickup, sport utility)) / V2:(Passenger car)",,,,,,,,290,,22,,,Not at junction,No controls,"One-way, not divided",Massachusetts Department of Transportation,Roadway,,,,Yes,Exit Number,175994.683009000000000,893358.653287000000000,42.290337020000000,-71.791079060000000,PW20244363791,2024-0C6-000155,2024,25-34,35-44,,,D1: Not Distracted / D2: Not Distracted,3,CMRPC,V1:(No) / V2:(No),"V1:(Yes, vehicle or trailer disabled) / V2:(Yes, vehicle or trailer disabled)",WORCESTER,"V1:(No, not federally reportable) / V2:(No, not federally reportable)","No, not federally reportable",No hit and run,,None,"No, school bus not involved",50,"No, device not functioning",No,62109,2014,1.186,9059,0.429,3310,Right side only,,0,0,4,Hardened bituminous mix or penetration,28,Bituminous concrete road,10,Hardened bituminous mix or penetration,2,3,6,Positive Barrier ΓÇô rigid,Large Urbanized Area,Interstate,Worcester (MA-CT),,Mainline roadway,Two-way traffic,Full Access Control,3,50,INTERSTATE 290,AUBURN TOWN LINE,SHREWSBURY TOWN LINE,WORCESTER,Good,Level Terrain,,Actual,3334,0,0,0,,,Interstate,2,No,44,"DCC1:Over-correcting/over-steering, DCC2:Not reported",Not Distracted,RI,No,No,"No, not federally reportable",Not reported,No Apparent Injury (O),Collision with motor vehicle in traffic,1,Travelling straight ahead,Passenger car,"MDA1:Right rear, MDA2:Center rear, MDA3:Left rear",MANVILLE,RI,RI,PAN,SEQ1:Collision with motor vehicle in traffic,"Yes, vehicle or trailer disabled",LEXUS,,,,,,,,,,,
0,5345778,WORCESTER,01/02/2024,1/2/2024,Open,Property damage only (none injured),No Apparent Injury (O),3,0,0,State police,Rear-to-rear,V1: Travelling straight ahead / V2: Travelling straight ahead / V3: Travelling straight ahead,V1: W  / V2: W  / V3: W,V1:(Collision with motor vehicle in traffic) V2:(Collision with motor vehicle in traffic) V3:(Collision with motor vehicle in traffic),Daylight,Clear,Dry,Collision with motor vehicle in traffic,V1:(Collision with motor vehicle in traffic) / V2:(Collision with motor vehicle in traffic) / V3:(Collision with motor vehicle in traffic),D1: (No improper driving)  / D2: (No improper driving)  / D3: (No improper driving),"V1:(Passenger car) / V2:(Truck/trailer) / V3:(Light truck(van, mini-van, pickup, sport utility))",,INTERSTATE 290 Rte I290 W,,,,,,,,,,,Not at junction,No controls,"Two-way, divided, positive median barrier",Massachusetts Department of Transportation,Roadway,,,,Yes,Operator Designated,175639.387650000000000,891405.464796000000000,42.272741660000000,-71.795305229999900,PW20244364520,2024-0C6-000025,2024,21-24,55-64,,,D1: Not Distracted / D2: Not Distracted / D3: Not Distracted,3,CMRPC,V1:(No) / V2:(No) / V3:(No),"V1:(Yes, vehicle or trailer disabled) / V2:(Yes, vehicle or trailer disabled) / V3:(Yes, vehicle or trailer disabled)",WORCESTER,"V1:(No, not federally reportable) / V2:(Yes, federally reportable) / V3:(No, not federally reportable)","Yes, federally reportable",No hit and run,,None,"No, school bus not involved",50,"No, device not functioning",No,105539,2014,1.055,12162,0.558,5215,None,,0,0,2,Hardened bituminous mix or penetration,46,Bituminous concrete road,2,Hardened bituminous mix or penetration,3,3,10,Positive Barrier ΓÇô rigid,Large Urbanized Area,Interstate,Worcester (MA-CT),,Mainline roadway,Two-way traffic,Full Access Control,3,50,INTERSTATE 290,AUBURN TOWN LINE,SHREWSBURY TOWN LINE,WORCESTER,Good,Level Terrain,,Actual,3118,0,0,0,,,Interstate,3,No,56,"DCC1:No improper driving, DCC2:Not reported",Not Distracted,GA,No,No,"No, not federally reportable",Not reported,No Apparent Injury (O),Collision with motor vehicle in traffic,1,Travelling straight ahead,"Light truck(van, mini-van, pickup, sport utility)","MDA1:Center front, MDA2:Right front, MDA3:Left front",LITHONIA,GA,NH,PAS,SEQ1:Collision with motor vehicle in traffic,"Yes, vehicle or trailer disabled",GMC,,,,,,,,,,,
0,5345778,WORCESTER,01/02/2024,1/2/2024,Open,Property damage only (none injured),No Apparent Injury (O),3,0,0,State police,Rear-to-rear,V1: Travelling straight ahead / V2: Travelling straight ahead / V3: Travelling straight ahead,V1: W  / V2: W  / V3: W,V1:(Collision with motor vehicle in traffic) V2:(Collision with motor vehicle in traffic) V3:(Collision with motor vehicle in traffic),Daylight,Clear,Dry,Collision with motor vehicle in traffic,V1:(Collision with motor vehicle in traffic) / V2:(Collision with motor vehicle in traffic) / V3:(Collision with motor vehicle in traffic),D1: (No improper driving)  / D2: (No improper driving)  / D3: (No improper driving),"V1:(Passenger car) / V2:(Truck/trailer) / V3:(Light truck(van, mini-van, pickup, sport utility))",,INTERSTATE 290 Rte I290 W,,,,,,,,,,,Not at junction,No controls,"Two-way, divided, positive median barrier",Massachusetts Department of Transportation,Roadway,,,,Yes,Operator Designated,175639.387650000000000,891405.464796000000000,42.272741660000000,-71.795305229999900,PW20244364520,2024-0C6-000025,2024,21-24,55-64,,,D1: Not Distracted / D2: Not Distracted / D3: Not Distracted,3,CMRPC,V1:(No) / V2:(No) / V3:(No),"V1:(Yes, vehicle or trailer disabled) / V2:(Yes, vehicle or trailer disabled) / V3:(Yes, vehicle or trailer disabled)",WORCESTER,"V1:(No, not federally reportable) / V2:(Yes, federally reportable) / V3:(No, not federally reportable)","Yes, federally reportable",No hit and run,,None,"No, school bus not involved",50,"No, device not functioning",No,105539,2014,1.055,12162,0.558,5215,None,,0,0,2,Hardened bituminous mix or penetration,46,Bituminous concrete road,2,Hardened bituminous mix or penetration,3,3,10,Positive Barrier ΓÇô rigid,Large Urbanized Area,Interstate,Worcester (MA-CT),,Mainline roadway,Two-way traffic,Full Access Control,3,50,INTERSTATE 290,AUBURN TOWN LINE,SHREWSBURY TOWN LINE,WORCESTER,Good,Level Terrain,,Actual,3118,0,0,0,,,Interstate,1,Not reported,64,"DCC1:No improper driving, DCC2:Not reported",Not Distracted,MA,Not reported,No,"No, not federally reportable",Not reported,No Apparent Injury (O),Collision with motor vehicle in traffic,1,Travelling straight ahead,Passenger car,MDA1:Left rear,ELKHART,IN,MA,PAN,SEQ1:Collision with motor vehicle in traffic,"Yes, vehicle or trailer disabled",FORD,ESCAPE,1FMCU9HDXKUB17962,,,,,,,,,
0,5345778,WORCESTER,01/02/2024,1/2/2024,Open,Property damage only (none injured),No Apparent Injury (O),3,0,0,State police,Rear-to-rear,V1: Travelling straight ahead / V2: Travelling straight ahead / V3: Travelling straight ahead,V1: W  / V2: W  / V3: W,V1:(Collision with motor vehicle in traffic) V2:(Collision with motor vehicle in traffic) V3:(Collision with motor vehicle in traffic),Daylight,Clear,Dry,Collision with motor vehicle in traffic,V1:(Collision with motor vehicle in traffic) / V2:(Collision with motor vehicle in traffic) / V3:(Collision with motor vehicle in traffic),D1: (No improper driving)  / D2: (No improper driving)  / D3: (No improper driving),"V1:(Passenger car) / V2:(Truck/trailer) / V3:(Light truck(van, mini-van, pickup, sport utility))",,INTERSTATE 290 Rte I290 W,,,,,,,,,,,Not at junction,No controls,"Two-way, divided, positive median barrier",Massachusetts Department of Transportation,Roadway,,,,Yes,Operator Designated,175639.387650000000000,891405.464796000000000,42.272741660000000,-71.795305229999900,PW20244364520,2024-0C6-000025,2024,21-24,55-64,,,D1: Not Distracted / D2: Not Distracted / D3: Not Distracted,3,CMRPC,V1:(No) / V2:(No) / V3:(No),"V1:(Yes, vehicle or trailer disabled) / V2:(Yes, vehicle or trailer disabled) / V3:(Yes, vehicle or trailer disabled)",WORCESTER,"V1:(No, not federally reportable) / V2:(Yes, federally reportable) / V3:(No, not federally reportable)","Yes, federally reportable",No hit and run,,None,"No, school bus not involved",50,"No, device not functioning",No,105539,2014,1.055,12162,0.558,5215,None,,0,0,2,Hardened bituminous mix or penetration,46,Bituminous concrete road,2,Hardened bituminous mix or penetration,3,3,10,Positive Barrier ΓÇô rigid,Large Urbanized Area,Interstate,Worcester (MA-CT),,Mainline roadway,Two-way traffic,Full Access Control,3,50,INTERSTATE 290,AUBURN TOWN LINE,SHREWSBURY TOWN LINE,WORCESTER,Good,Level Terrain,,Actual,3118,0,0,0,,,Interstate,2,No,24,"DCC1:No improper driving, DCC2:Not reported",Not Distracted,PA,No,No,"Yes, federally reportable",Not reported,No Apparent Injury (O),Collision with motor vehicle in traffic,1,Travelling straight ahead,Truck/trailer,MDA1:Right front,PHOENIXVILLE,PA,PA,APN,SEQ1:Collision with motor vehicle in traffic,"Yes, vehicle or trailer disabled",PETERBILT,,,,,,,,,,,
0,5345774,WORCESTER,01/04/2024,1/4/2024,Open,Property damage only (none injured),No Apparent Injury (O),3,0,0,State police,Rear-end,V1: Slowing or stopped in traffic / V2: Slowing or stopped in traffic / V3: Travelling straight ahead,V1: W  / V2: W  / V3: W,V1:(Collision with motor vehicle in traffic) V2:(Collision with motor vehicle in traffic) V3:(Collision with motor vehicle in traffic),Dark - lighted roadway,Clear,Dry,Collision with motor vehicle in traffic,V1:(Collision with motor vehicle in traffic) / V2:(Collision with motor vehicle in traffic) / V3:(Collision with motor vehicle in traffic),D1: (No improper driving)  / D2: (No improper driving)  / D3: (Driving too fast for conditions),"V1:(Light truck(van, mini-van, pickup, sport utility)) / V2:(Light truck(van, mini-van, pickup, sport utility)) / V3:(Light truck(van, mini-van, pickup, sport utility))",,,,,,,,290,,22,,,Not at junction,No controls,"Two-way, divided, positive median barrier",Massachusetts Department of Transportation,Roadway,,,,Yes,Exit Number,175994.683009000000000,893358.653287000000000,42.290337020000000,-71.791079060000000,PW20244364513,2024-0C6-000093,2024,25-34,35-44,,,D1: Not Distracted / D2: Not Distracted,3,CMRPC,V1:(No) / V2:(No) / V3:(No),"V1:(Yes, other reason not disabled) / V2:(Yes, other reason not disabled) / V3:(Yes, vehicle or trailer disabled)",WORCESTER,"V1:(No, not federally reportable) / V2:(No, not federally reportable) / V3:(No, not federally reportable)","No, not federally reportable",No hit and run,,None,"No, school bus not involved",50,Not reported,No,62109,2014,1.186,9059,0.429,3310,Right side only,,0,0,4,Hardened bituminous mix or penetration,28,Bituminous concrete road,10,Hardened bituminous mix or penetration,2,3,6,Positive Barrier ΓÇô rigid,Large Urbanized Area,Interstate,Worcester (MA-CT),,Mainline roadway,Two-way traffic,Full Access Control,3,50,INTERSTATE 290,AUBURN TOWN LINE,SHREWSBURY TOWN LINE,WORCESTER,Good,Level Terrain,,Actual,3334,0,0,0,,,Interstate,1,No,40,"DCC1:No improper driving, DCC2:Not reported",Not Distracted,MA,No,No,"No, not federally reportable",Not reported,No Apparent Injury (O),Collision with motor vehicle in traffic,1,Slowing or stopped in traffic,"Light truck(van, mini-van, pickup, sport utility)",MDA1:Center rear,STERLING,MA,MA,PAN,SEQ1:Collision with motor vehicle in traffic,"Yes, other reason not disabled",TOYT,RAV4,2T3N1RFV8KC025805,,,,,,,,,
0,5345774,WORCESTER,01/04/2024,1/4/2024,Open,Property damage only (none injured),No Apparent Injury (O),3,0,0,State police,Rear-end,V1: Slowing or stopped in traffic / V2: Slowing or stopped in traffic / V3: Travelling straight ahead,V1: W  / V2: W  / V3: W,V1:(Collision with motor vehicle in traffic) V2:(Collision with motor vehicle in traffic) V3:(Collision with motor vehicle in traffic),Dark - lighted roadway,Clear,Dry,Collision with motor vehicle in traffic,V1:(Collision with motor vehicle in traffic) / V2:(Collision with motor vehicle in traffic) / V3:(Collision with motor vehicle in traffic),D1: (No improper driving)  / D2: (No improper driving)  / D3: (Driving too fast for conditions),"V1:(Light truck(van, mini-van, pickup, sport utility)) / V2:(Light truck(van, mini-van, pickup, sport utility)) / V3:(Light truck(van, mini-van, pickup, sport utility))",,,,,,,,290,,22,,,Not at junction,No controls,"Two-way, divided, positive median barrier",Massachusetts Department of Transportation,Roadway,,,,Yes,Exit Number,175994.683009000000000,893358.653287000000000,42.290337020000000,-71.791079060000000,PW20244364513,2024-0C6-000093,2024,25-34,35-44,,,D1: Not Distracted / D2: Not Distracted,3,CMRPC,V1:(No) / V2:(No) / V3:(No),"V1:(Yes, other reason not disabled) / V2:(Yes, other reason not disabled) / V3:(Yes, vehicle or trailer disabled)",WORCESTER,"V1:(No, not federally reportable) / V2:(No, not federally reportable) / V3:(No, not federally reportable)","No, not federally reportable",No hit and run,,None,"No, school bus not involved",50,Not reported,No,62109,2014,1.186,9059,0.429,3310,Right side only,,0,0,4,Hardened bituminous mix or penetration,28,Bituminous concrete road,10,Hardened bituminous mix or penetration,2,3,6,Positive Barrier ΓÇô rigid,Large Urbanized Area,Interstate,Worcester (MA-CT),,Mainline roadway,Two-way traffic,Full Access Control,3,50,INTERSTATE 290,AUBURN TOWN LINE,SHREWSBURY TOWN LINE,WORCESTER,Good,Level Terrain,,Actual,3334,0,0,0,,,Interstate,2,No,32,"DCC1:No improper driving, DCC2:Not reported",Not Distracted,MA,No,No,"No, not federally reportable",Not reported,No Apparent Injury (O),Collision with motor vehicle in traffic,1,Slowing or stopped in traffic,"Light truck(van, mini-van, pickup, sport utility)",MDA1:Center rear,WORCESTER,MA,MA,PAN,SEQ1:Collision with motor vehicle in traffic,"Yes, other reason not disabled",JEEP,WRANGL,1C4HJXDG7KW643025,,,,,,,,,
0,5345774,WORCESTER,01/04/2024,1/4/2024,Open,Property damage only (none injured),No Apparent Injury (O),3,0,0,State police,Rear-end,V1: Slowing or stopped in traffic / V2: Slowing or stopped in traffic / V3: Travelling straight ahead,V1: W  / V2: W  / V3: W,V1:(Collision with motor vehicle in traffic) V2:(Collision with motor vehicle in traffic) V3:(Collision with motor vehicle in traffic),Dark - lighted roadway,Clear,Dry,Collision with motor vehicle in traffic,V1:(Collision with motor vehicle in traffic) / V2:(Collision with motor vehicle in traffic) / V3:(Collision with motor vehicle in traffic),D1: (No improper driving)  / D2: (No improper driving)  / D3: (Driving too fast for conditions),"V1:(Light truck(van, mini-van, pickup, sport utility)) / V2:(Light truck(van, mini-van, pickup, sport utility)) / V3:(Light truck(van, mini-van, pickup, sport utility))",,,,,,,,290,,22,,,Not at junction,No controls,"Two-way, divided, positive median barrier",Massachusetts Department of Transportation,Roadway,,,,Yes,Exit Number,175994.683009000000000,893358.653287000000000,42.290337020000000,-71.791079060000000,PW20244364513,2024-0C6-000093,2024,25-34,35-44,,,D1: Not Distracted / D2: Not Distracted,3,CMRPC,V1:(No) / V2:(No) / V3:(No),"V1:(Yes, other reason not disabled) / V2:(Yes, other reason not disabled) / V3:(Yes, vehicle or trailer disabled)",WORCESTER,"V1:(No, not federally reportable) / V2:(No, not federally reportable) / V3:(No, not federally reportable)","No, not federally reportable",No hit and run,,None,"No, school bus not involved",50,Not reported,No,62109,2014,1.186,9059,0.429,3310,Right side only,,0,0,4,Hardened bituminous mix or penetration,28,Bituminous concrete road,10,Hardened bituminous mix or penetration,2,3,6,Positive Barrier ΓÇô rigid,Large Urbanized Area,Interstate,Worcester (MA-CT),,Mainline roadway,Two-way traffic,Full Access Control,3,50,INTERSTATE 290,AUBURN TOWN LINE,SHREWSBURY TOWN LINE,WORCESTER,Good,Level Terrain,,Actual,3334,0,0,0,,,Interstate,3,No,42,"DCC1:Driving too fast for conditions, DCC2:Not reported",Not reported,MA,No,No,"No, not federally reportable",Not reported,No Apparent Injury (O),Collision with motor vehicle in traffic,1,Travelling straight ahead,"Light truck(van, mini-van, pickup, sport utility)",MDA1:Center front,WORCESTER,MA,MA,PAN,SEQ1:Collision with motor vehicle in traffic,"Yes, vehicle or trailer disabled",FORD,EXPLOR,1FMZU35P5WZB99873,,,,,,,,,
